"","Id","Percent","Percent_arg","Percent_control","Segment","Treatment","value"
"1","2023_05_24_0005",49.6020226612979,7.98763929206856,89.5822763402673,"Distal segments","Control",1.66974941372934
"2","2023_05_24_0005_dup",49.0877095489488,9.68787626192465,89.3609846568875,"Distal segments","Control",1.70749239941267
"3","2023_05_24_0007",25.2638986629134,1.54820548909218,18.7958115183246,"Proximal segments","Control",-1.29147568335786
"4","2023_05_24_0007",79.5543905635649,13.8925294888598,42.5666199158485,"Proximal segments","Control",-1.24995798377658
"5","2023_05_24_0002",24.3614931237721,5.1080550098232,43.3398058252428,"Distal segments","Control",-0.280731320990661
"6","2023_05_24_0002",22.7593901078468,-5.91297880252892,36.1061946902654,"Distal segments","Control",-0.871919874766181
"7","2023_05_24_0007_dup",20.0831600831602,-1.66320166320167,20.1923076923078,"Proximal segments","Control",-0.976737565456177
"8","2023_05_24_0007_dup",16.6400629742199,0.26239258303635,26.7580872011252,"Proximal segments","Control",-0.259420125145985
"9","2023_05_24_0002_dup",24.3614931237721,5.1080550098232,43.3398058252428,"Distal segments","Control",-0.280731320990661
"10","2023_05_24_0002_dup",22.7593901078468,-5.91297880252892,36.1061946902654,"Distal segments","Control",-0.871919874766181
"11","2023_05_25_0004",48.0154691634439,-4.78322817016076,57.312925170068,"Proximal segments","Control",-0.174539191779929
"12","2023_05_25_0006",84.2008797653959,0.843108504398803,56.7861557478368,"Distal segments","Control",0.871709165594474
"13","2023_05_25_0006",13.3666037226868,-13.6093876449959,35.7374684457266,"Distal segments","Control",0.663961522546044
"14","2023_05_25_0004_dup",78.5030803512912,-4.41735483025299,72.017797017797,"Proximal segments","Control",0.694189190558462
"15","2023_05_25_0004_dup",58.1894540363976,-11.1992533831078,59.6936333173768,"Proximal segments","Control",0.343783072524341
"16","2023_05_25_0006_dup",58.4033142985108,0.974135035270525,50.0335731414868,"Distal segments","Control",1.11064145631862
"17","2023_05_25_0006_dup",68.1554524361949,-13.1960556844547,67.4899483055715,"Distal segments","Control",0.495583413803667
"18","2023_05_25_0004_dupp",48.0154691634439,-4.78322817016076,57.312925170068,"Proximal segments","Control",-0.174539191779929
"19","2023_05_25_0006_dupp",84.2008797653959,0.843108504398803,56.7861557478368,"Distal segments","Control",0.871709165594474
"20","2023_05_25_0006_dupp",13.3666037226868,-13.6093876449959,35.7374684457266,"Distal segments","Control",0.663961522546044
