"","Condition","Segment","names","value"
"1","Pe max",NA,"Channel 1",NA
"2","Pe max",NA,"Channel 2",NA
"3","Pe max",NA,"Channel 1",NA
"4","Pe max",NA,"Channel 2",NA
"5","Pe max",NA,"Channel 1",NA
"6","Pe max",NA,"Channel 2",NA
"7","Pe max",NA,"Channel 1",NA
"8","Pe max",NA,"Channel 2",NA
"9","Pe max",NA,"Channel 1",NA
"10","Pe max",NA,"Channel 2",1.37130277095652
"11","Pe max",NA,"Channel 1",NA
"12","Pe max",NA,"Channel 2",NA
"13","Pe max",NA,"Channel 1",NA
"14","Pe max",NA,"Channel 2",NA
"15","Pe max",NA,"Channel 1",NA
"16","Pe max",NA,"Channel 2",NA
"17","Pe max",NA,"Channel 1",NA
"18","Pe max",NA,"Channel 2",NA
"19","Pe max","Proximal segments","Channel 1",1.90533066020389
"20","Pe max","Proximal segments","Channel 2",NA
"21","Pe max","Proximal segments","Channel 1",NA
"22","Pe max","Proximal segments","Channel 2",NA
"23","Pe max","Intermediate segments","Channel 1",NA
"24","Pe max","Intermediate segments","Channel 2",NA
"25","Pe max","Intermediate segments","Channel 1",NA
"26","Pe max","Intermediate segments","Channel 2",NA
"27","Pe max","Distal segments","Channel 1",NA
"28","Pe max","Distal segments","Channel 2",NA
"29","Pe max","Distal segments","Channel 1",NA
"30","Pe max","Distal segments","Channel 2",NA
"31","Pe max","Distal segments","Channel 1",NA
"32","Pe max","Distal segments","Channel 2",NA
"33","Pe max","Distal segments","Channel 1",NA
"34","Pe max","Distal segments","Channel 2",NA
"35","Pe max","Proximal segments","Channel 1",NA
"36","Pe max","Proximal segments","Channel 2",NA
"37","Pe max","Proximal segments","Channel 1",1.90533066020389
"38","Pe max","Proximal segments","Channel 2",NA
"39","PE max","Proximal segments","Channel 1",-0.25274613919792
"40","PE max","Proximal segments","Channel 2",-1.63915739096984
"41","PE max","Proximal segments","Channel 1",-1.44511611175257
"42","PE max","Proximal segments","Channel 2",-0.934363104590862
"43","PE max","Intermediate segments","Channel 1",0.298859448154948
"44","PE max","Intermediate segments","Channel 2",0.0031660566357465
"45","PE max","Distal segments","Channel 1",0.932255337666738
"46","PE max","Distal segments","Channel 2",1.34491106549025
"47","PE max","Intermediate segments","Channel 1",0.257301132463388
"48","PE max","Intermediate segments","Channel 2",0.0301237641470544
"49","PE max","Distal segments","Channel 1",0.946992329046723
"50","PE max","Distal segments","Channel 2",1.3233448994812
"51","PE max","Proximal segments","Channel 1",-0.478516847139302
"52","PE max","Proximal segments","Channel 2",-1.51889606246106
"53","PE max","Intermediate segments","Channel 1",0.454629447041399
"54","PE max","Intermediate segments","Channel 2",0.367544403163595
"55","PE max","Distal segments","Channel 1",-0.645634329388341
"56","PE max","Distal segments","Channel 2",-0.841359013676848
"57","PE max","Proximal segments","Channel 1",-0.453169221965727
"58","PE max","Proximal segments","Channel 2",-1.48215869772482
"59","PE max","Intermediate segments","Channel 1",0.453450487730999
"60","PE max","Intermediate segments","Channel 2",0.395849996050469
"61","PE max","Distal segments","Channel 1",-0.645634329388341
"62","PE max","Distal segments","Channel 2",-0.841359013676848
"63","PE max","Proximal segments","Channel 1",-0.81230970189598
"64","PE max","Proximal segments","Channel 2",-0.480575028150507
"65","PE max","Intermediate segments","Channel 1",0.247869457980198
"66","PE max","Intermediate segments","Channel 2",0.540672791402886
"67","PE max","Distal segments","Channel 1",1.49948213588239
"68","PE max","Distal segments","Channel 2",0.361104506369228
"69","PE max","Proximal segments","Channel 1",0.101089023835539
"70","PE max","Proximal segments","Channel 2",-0.0182503443315712
"71","PE max","Intermediate segments","Channel 1",0.645768225239814
"72","PE max","Intermediate segments","Channel 2",0.951777830950337
"73","PE max","Distal segments","Channel 1",1.60691480304249
"74","PE max","Distal segments","Channel 2",0.373684769874505
"75","PE max","Proximal segments","Channel 1",-0.81230970189598
"76","PE max","Proximal segments","Channel 2",-0.480575028150507
"77","PE max","Intermediate segments","Channel 1",0.247869457980198
"78","PE max","Intermediate segments","Channel 2",0.540672791402886
"79","PE max","Distal segments","Channel 1",1.49948213588239
"80","PE max","Distal segments","Channel 2",0.361104506369228
"81","PE max","Proximal segments","Channel 1",-0.189751379727963
"82","PE max","Proximal segments","Channel 2",-0.551932918002807
"83","PE max","Proximal segments","Channel 1",-0.189380133955928
"84","PE max","Proximal segments","Channel 2",-0.559119754794296
"85","PE max","Distal segments","Channel 1",-0.0493508693163402
"86","PE max","Distal segments","Channel 2",2.09661984070182
"87","PE max","Distal segments","Channel 1",-0.0580828792460885
"88","PE max","Distal segments","Channel 2",2.22164368073487
"89","PE max","Proximal segments","Channel 1",-0.134428025407777
"90","PE max","Proximal segments","Channel 2",-0.676685556647507
"91","PE max","Proximal segments","Channel 1",-0.147877950357141
"92","PE max","Proximal segments","Channel 2",-0.590307914455471
"93","PE max","Intermediate segments","Channel 1",-0.0961201023058782
"94","PE max","Intermediate segments","Channel 2",0.920148218004637
