"","Id","Percent","Segment","Treatment","value"
"1","2023_05_21_12",58.4164310165202,"Proximal segments","Ba+Oub",-0.920590205348539
"2","2023_05_21_12",83.0233244759374,"Proximal segments","Ba+Oub",-0.165880333142623
"3","2023_05_21_13",57.243763149985,"Proximal segments","Ba+Oub",-0.922519552968044
"4","2023_05_21_13",84.6015037593983,"Proximal segments","Ba+Oub",-0.165588728705414
"5","2023_05_22_0",68.6997208996881,"Distal segments","Ba+Oub",-0.846676232753045
"6","2023_05_22_1",66.6739130434782,"Distal segments","Ba+Oub",-0.883849439042633
"7","2023_05_22_08_dup",30.368906455863,"Proximal segments","Ba+Oub",-0.978204517020634
"8","2023_05_22_08_dup",55.6684910086006,"Proximal segments","Ba+Oub",-0.778249651283857
"9","2023_05_23_0002_dup",52.5677434623121,"Distal segments","Ba+Oub",-0.838093962307664
"10","2023_05_23_0002_dup",39.7796817625459,"Distal segments","Ba+Oub",0.530471062915122
"11","2023_05_09_0009",82.2065727699531,"Distal segments","Ba+Oub",-0.869379331896351
"12","2023_05_23_0011",79.6929098298961,"Distal segments","Ba+Oub",-0.897820576976975
"13","2023_05_23_0011_dup",78.8548241659153,"Distal segments","Ba+Oub",-0.898602295409015
"14","2023_05_23_0011_dup",41.2752675386444,"Distal segments","Ba+Oub",-0.176086488444979
"15","2023_05_23_0013",57.6257436452136,"Proximal segments","Ba+Oub",0.256946100812037
"16","2023_05_23_0017",50.2530933633296,"Distal segments","Ba+Oub",-0.956150077852852
"17","2023_05_23_0017",47.1078258829051,"Distal segments","Ba+Oub",0.18491980482114
"18","2023_05_23_0019",41.6953393806692,"Proximal segments","Ba+Oub",-0.963701145260222
"19","2023_05_23_0019",30.3907537514094,"Proximal segments","Ba+Oub",-0.168504773077516
"20","2023_05_23_0021",67.6937738246505,"Proximal segments","Ba+Oub",0.256946100812037
"21","2023_05_22_0025",32.1461187214612,"Proximal segments","Ba+Oub",-0.883227248679498
"22","2023_05_22_0027",41.7951042611061,"Proximal segments","Ba+Oub",-0.978204517020634
"23","2023_05_22_0027",65.9870250231698,"Proximal segments","Ba+Oub",-0.778249651283857
"24","2023_05_22_0029",32.1461187214612,"Proximal segments","Ba+Oub",-0.883227248679498
"25","2023_05_23_0002_dup",42.8396572827417,"Distal segments","Ba+Oub",0.314566923416472
"26","2023_05_23_0011",79.6929098298961,"Distal segments","Ba+Oub",0.336642021343898
"27","2023_05_23_0011_dup",78.8548241659153,"Distal segments","Ba+Oub",0.324900774743917
"28","2023_05_23_0011_dup",41.2752675386444,"Distal segments","Ba+Oub",-0.340993632059397
"29","2023_05_23_0013",57.6257436452136,"Proximal segments","Ba+Oub",0.0038549066872074
"30","2023_05_23_0017",50.2530933633296,"Distal segments","Ba+Oub",-0.539454826020702
"31","2023_05_23_0017",47.1078258829051,"Distal segments","Ba+Oub",-0.0535037391514529
"32","2023_05_23_0019",29.8091961213638,"Distal segments","Ba+Oub",-0.747799499731018
"33","2023_05_23_0019",30.3907537514094,"Distal segments","Ba+Oub",-0.334955879865854
"34","2023_05_23_0017_dup",50.2530933633296,"Distal segments","Ba+Oub",-0.539454826020702
"35","2023_05_23_0017_dup",47.1078258829051,"Distal segments","Ba+Oub",-0.0535037391514529
"36","2023_05_23_0019_dup",29.8091961213638,"Distal segments","Ba+Oub",-0.747799499731018
"37","2023_05_23_0019_dup",30.3907537514094,"Distal segments","Ba+Oub",-0.334955879865854
