"","Id","Percent","Segment","Treatment","value"
"1","2023_05_21_12",58.4164310165202,"Proximal segments","Control",-0.874119539409788
"2","2023_05_21_12",83.0233244759374,"Proximal segments","Control",0.00179221825319085
"3","2023_05_21_13",57.243763149985,"Proximal segments","Control",-0.875200639368993
"4","2023_05_21_13",84.6015037593983,"Proximal segments","Control",-0.0162872568538354
"5","2023_05_22_0",68.6997208996881,"Distal segments","Control",-0.783257245915373
"6","2023_05_22_0",77.6038702333523,"Distal segments","Control",3.11291995884787
"7","2023_05_22_1",66.6739130434782,"Distal segments","Control",-0.832854785582286
"8","2023_05_22_1",72.6930864911773,"Distal segments","Control",3.04643414716396
"9","2023_05_22_08_dup",30.368906455863,"Proximal segments","Control",-0.960624168453254
"10","2023_05_22_08_dup",55.6684910086006,"Proximal segments","Control",-0.612909935385725
"11","2023_05_23_0002",88.225988700565,"Proximal segments","Control",2.88517689338677
"12","2023_05_23_0002_dup",52.5677434623121,"Distal segments","Control",-0.704752756570024
"13","2023_05_23_0002_dup",39.7796817625459,"Distal segments","Control",2.82598119263312
"14","2023_05_09_0009",82.2065727699531,"Distal segments","Control",-0.844164754386277
"15","2023_05_09_0009",73.3379554733842,"Distal segments","Control",2.799445188847
"16","2023_05_09_0009_dup",83.7209302325581,"Distal segments","Control",2.77582522943298
"17","2023_05_23_0011",79.6929098298961,"Distal segments","Control",-0.875383594746705
"18","2023_05_23_0011_dup",78.8548241659153,"Distal segments","Control",-0.875200639368993
"19","2023_05_23_0011_dup",41.2752675386444,"Distal segments","Control",0.976042642972172
"20","2023_05_23_0013",57.6257436452136,"Proximal segments","Control",1.17083440702853
"21","2023_05_23_0017",50.2530933633296,"Distal segments","Control",-0.926727526655411
"22","2023_05_23_0017",47.1078258829051,"Distal segments","Control",1.49947260776432
"23","2023_05_23_0019",41.6953393806692,"Proximal segments","Control",-0.932698524891635
"24","2023_05_23_0019",30.3907537514094,"Proximal segments","Control",1.70365403469884
"25","2023_05_23_0021",67.6937738246505,"Proximal segments","Control",0.850069526097404
"26","2023_05_22_0025",32.1461187214612,"Proximal segments","Control",-0.666565151832385
"27","2023_05_22_0027",41.7951042611061,"Proximal segments","Control",-0.967526575885101
"28","2023_05_22_0027",65.9870250231698,"Proximal segments","Control",-0.671230822827747
"29","2023_05_22_0029",32.1461187214612,"Proximal segments","Control",-0.666565151832385
"30","2023_05_23_00055",-17.6023988771213,"Proximal segments","Control",2.46111088706915
"31","2023_05_23_00055",167.632508833922,"Proximal segments","Control",-0.363506207314736
