"","Id","value","Channel","Condition","Segment","Rat_id","Freshness"
"1","2023_05_27_0007",-1.15732272299494,2,"Control","Proximal segments",2023-12-05,"Yes"
"2","2023_05_27_0007",-1.22938653266772,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"3","2023_05_27_0008",0.084822045364849,2,"Control","Proximal segments",2023-12-05,"Yes"
"4","2023_05_27_0008",0.229243802709072,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"5","2023_05_27_0009",-1.11731995517658,2,"Control","Proximal segments",2023-12-05,"Yes"
"6","2023_05_27_0009",-1.15585203300162,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"7","2023_05_27_0010",0.373665560053295,2,"Control","Proximal segments",2023-12-05,"Yes"
"8","2023_05_27_0010",-0.0451869500448186,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"9","2023_05_28_0000",0.601916647016874,2,"Control","Proximal segments",2023-12-05,"Yes"
"10","2023_05_28_0000",0.577503193127729,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"11","2023_05_28_0002",-1.29203792638324,2,"Control","Proximal segments",2023-12-05,"Yes"
"12","2023_05_28_0002",-1.26409481651012,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"13","2023_05_28_0004",-1.06908132339562,2,"Control","Proximal segments",2023-12-05,"Yes"
"14","2023_05_28_0004",-1.08349408533017,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"15","2023_05_28_0010",0.0777627333969027,2,"Control","Proximal segments",2023-12-05,"Yes"
"16","2023_05_28_0010",0.146002749087045,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"17","2023_05_28_0012",-1.10937822921264,2,"Control","Proximal segments",2023-12-05,"Yes"
"18","2023_05_28_0012",-1.14261582306172,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"19","2023_05_28_0014",0.372194870059973,2,"Control","Proximal segments",2023-12-05,"Yes"
"20","2023_05_28_0014",0.086881011355499,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"21","2023_05_28_0016",0.583385953101017,2,"Control","Proximal segments",2023-12-05,"Yes"
"22","2023_05_28_0016",0.575444227137078,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
"23","2023_05_28_0018",-1.27674275045269,2,"Control","Proximal segments",2023-12-05,"Yes"
"24","2023_05_28_0018",-1.2535058485582,2,"Nicradipine","Proximal segments",2023-12-05,"Yes"
