"","Id","value","Channel","Condition","Segment","Rat_id","Freshness"
"1","2023_05_27_0007",0.918114995581111,1,"Control","Distal segments",2023-12-05,"Yes"
"2","2023_05_27_0007",2.2685025474494,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"3","2023_05_27_0008",1.09459779477975,1,"Control","Distal segments",2023-12-05,"Yes"
"4","2023_05_27_0008",1.85935659130721,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"5","2023_05_27_0009",-0.681995717153258,1,"Control","Distal segments",2023-12-05,"Yes"
"6","2023_05_27_0009",0.047760657533134,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"7","2023_05_27_0010",-0.630521567386988,1,"Control","Distal segments",2023-12-05,"Yes"
"8","2023_05_27_0010",1.23725472413199,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"9","2023_05_28_0000",0.0283475496212827,1,"Control","Distal segments",2023-12-05,"Yes"
"10","2023_05_28_0000",0.312190718332434,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"11","2023_05_28_0002",-0.877891624263753,1,"Control","Distal segments",2023-12-05,"Yes"
"12","2023_05_28_0002",-0.459039114165639,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"13","2023_05_28_0004",0.93399844750899,1,"Control","Distal segments",2023-12-05,"Yes"
"14","2023_05_28_0004",2.26673771945741,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"15","2023_05_28_0010",1.10518676273167,1,"Control","Distal segments",2023-12-05,"Yes"
"16","2023_05_28_0010",1.94877454290119,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"17","2023_05_28_0012",-0.66875950721336,1,"Control","Distal segments",2023-12-05,"Yes"
"18","2023_05_28_0012",0.042466173557174,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"19","2023_05_28_0014",-0.630521567386988,1,"Control","Distal segments",2023-12-05,"Yes"
"20","2023_05_28_0014",1.23990196611997,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"21","2023_05_28_0016",0.0224647896479939,1,"Control","Distal segments",2023-12-05,"Yes"
"22","2023_05_28_0016",0.34131038020021,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
"23","2023_05_28_0018",-0.830829544477448,1,"Control","Distal segments",2023-12-05,"Yes"
"24","2023_05_28_0018",-0.400211514432758,1,"Nicradipine","Distal segments",2023-12-05,"Yes"
